n_obs,condition,algorithm,trial,ctrl_ms,max_ep,min_clear,tube_safe,collision_free,task_success,qp_infeas_pct
10,disturbed,Baseline,12,3.3552570664155197,0.763103258910984,0.9638669232524824,True,True,False,nan
10,disturbed,Baseline,13,3.6033122662877495,0.7612949395312013,0.49754921436803695,True,True,False,nan
10,disturbed,Baseline,14,3.5127899051219624,0.7456647544216966,0.6125325204673892,True,True,False,nan
10,disturbed,Baseline,15,3.335927991144012,0.8176513698509928,0.6835835248881289,True,True,False,nan
10,disturbed,Baseline,16,3.8379133934172565,0.7362027659930701,0.867271249319389,True,True,True,nan
10,disturbed,Baseline,17,3.383785450353224,0.765554447528344,0.6486601764645173,True,True,False,nan
10,disturbed,Baseline,18,3.6741054851350725,0.7151693722440299,0.7451487029682082,True,True,False,nan
10,disturbed,Baseline,19,3.3707895920308375,0.7183840985710702,0.6856277441400976,True,True,False,nan
10,disturbed,Baseline,20,3.7944114301022918,0.5006714705644068,0.7186861757922121,True,True,True,nan
10,disturbed,Baseline,21,3.6273789025847716,0.7013837058319911,0.7597014837333086,True,True,False,nan
10,disturbed,Baseline,22,3.4183286268235458,0.7752566343160254,1.230747079752486,True,True,False,nan
10,disturbed,Baseline,23,3.392366276410819,0.6959723313705116,0.8830455436137615,True,True,False,nan
10,disturbed,Baseline,24,3.907804483874203,0.7338498832152403,0.7177070869970563,True,True,True,nan
